361976 U	S STAND	ARD							
2.70000 1	0	0  33.6	0000 11	6.44261	0	0.57	065   0	0	
									
WL	H2O	O3	MOLEC						
(NM)	TRANS	TRANS	SCAT						
1058.5	1	1	0.9941						
1059	1	1	0.9941						
1059.5	1	1	0.9941						
1060	1	1	0.9941						
1060.5	1	1	0.9941						
1061	0.9999	1	0.9941						
1061.5	0.9999	1	0.9942						
1062	0.9997	1	0.9942						
1062.5	0.9997	1	0.9942						
1063	0.9998	1	0.9942						
1063.5	0.9999	1	0.9942						
1064	0.9999	1	0.9942						
1064.5	0.9997	1	0.9942						
1065	0.9994	1	0.9942						
1065.5	0.9997	1	0.9942						
1066	0.9999	1	0.9943						
1066.5	0.9999	1	0.9943						
1067	0.9997	1	0.9943						
1067.5	0.9994	1	0.9943						
1068	0.9994	1	0.9943						
1068.5	0.9996	1	0.9943						
1069	0.9992	1	0.9943						
1069.5	0.9984	1	0.9943						
1070	0.9983	1	0.9943						
1070.5	0.999	1	0.9943						
1071	0.9995	1	0.9944						
1071.5	0.9991	1	0.9944						
1072	0.9982	1	0.9944						
1072.5	0.9977	1	0.9944						
1073	0.9986	1	0.9944						
1073.5	0.9993	1	0.9944						
1074	0.9981	1	0.9944						
1074.5	0.9951	1	0.9944						
1075	0.9956	1	0.9944						
1075.5	0.9986	1	0.9944						
1076	0.9992	1	0.9945						
1076.5	0.9985	1	0.9945						
1077	0.996	1	0.9945						
1077.5	0.9926	1	0.9945						
1078	0.9942	1	0.9945						
1078.5	0.9976	1	0.9945						
1079	0.9986	1	0.9945						
1079.5	0.9977	1	0.9945						
1080	0.994	1	0.9945						
1080.5	0.9903	1	0.9946						
1081	0.9919	1	0.9946						
1081.5	0.9921	1	0.9946						
1082	0.9941	1	0.9946						
1082.5	0.9967	1	0.9946						
1083	0.9924	1	0.9946						
1083.5	0.9881	1	0.9946						
1084	0.9916	1	0.9946						
1084.5	0.9939	1	0.9946						
1085	0.9934	1	0.9946						
1085.5	0.988	1	0.9947						
1086	0.9775	1	0.9947						
1086.5	0.975	1	0.9947						
1087	0.9855	1	0.9947						
1087.5	0.994	1	0.9947						
1088	0.9967	1	0.9947						
1088.5	0.994	1	0.9947						
1089	0.9878	1	0.9947						
1089.5	0.9853	1	0.9947						
1090	0.9834	1	0.9947						
1090.5	0.9797	1	0.9948						
1091	0.9881	1	0.9948						
1091.5	0.9928	1	0.9948						
1092	0.9813	1	0.9948						
1092.5	0.9703	1	0.9948						
1093	0.9749	1	0.9948						
1093.5	0.9853	1	0.9948						
1094	0.9847	1	0.9948						
1094.5	0.9757	1	0.9948						
1095	0.9764	1	0.9948						
1095.5	0.9753	1	0.9948						
1096	0.9697	1	0.9949						
1096.5	0.9784	1	0.9949						
1097	0.9851	1	0.9949						
1097.5	0.9763	1	0.9949						
1098	0.97	1	0.9949						
1098.5	0.9683	1	0.9949						
1099	0.9586	1	0.9949						
1099.5	0.9501	1	0.9949						
1100	0.9535	1	0.9949						
-9999									
