361976 U	S STAND	ARD							
2.70000 1	0	0  33.6	0000 11	6.44261	0	0.57	065   0	0	
									
WL	H2O	O3	MOLEC						
(NM)	TRANS	TRANS	SCAT						
490	1	0.9918	0.8742						
490.5	1	0.9917	0.8747						
491	1	0.9916	0.8751						
491.5	1	0.9915	0.8756						
492	1	0.9914	0.8761						
492.5	1	0.9914	0.8766						
493	1	0.9913	0.8771						
493.5	1	0.9912	0.8775						
494	1	0.9911	0.878						
494.5	1	0.991	0.8785						
495	1	0.9909	0.879						
495.5	1	0.9907	0.8794						
496	1	0.9905	0.8799						
496.5	1	0.9903	0.8804						
497	1	0.99	0.8808						
497.5	1	0.9896	0.8813						
498	1	0.9892	0.8817						
498.5	1	0.9888	0.8822						
499	1	0.9884	0.8827						
499.5	1	0.9879	0.8831						
500	1	0.9874	0.8836						
500.5	0.9999	0.9868	0.884						
501	0.9999	0.9863	0.8845						
501.5	0.9998	0.9858	0.8849						
502	0.9996	0.9853	0.8853						
502.5	0.9994	0.9848	0.8858						
503	0.999	0.9844	0.8862						
503.5	0.9982	0.984	0.8867						
504	0.9977	0.9837	0.8871						
504.5	0.9982	0.9834	0.8875						
505	0.999	0.9833	0.8879						
505.5	0.9991	0.9831	0.8884						
506	0.9988	0.9831	0.8888						
506.5	0.9989	0.9832	0.8892						
507	0.9988	0.9833	0.8896						
507.5	0.9988	0.9834	0.8901						
508	0.9988	0.9835	0.8905						
508.5	0.9991	0.9837	0.8909						
509	0.9994	0.9838	0.8913						
509.5	0.9995	0.9839	0.8917						
510	0.9996	0.984	0.8921						
510.5	0.9997	0.9841	0.8925						
511	0.9998	0.9841	0.8929						
511.5	0.9998	0.984	0.8933						
512	0.9999	0.9839	0.8938						
512.5	0.9999	0.9838	0.8942						
513	0.9999	0.9836	0.8945						
513.5	1	0.9834	0.8949						
514	1	0.9832	0.8953						
514.5	1	0.983	0.8958						
515	1	0.9828	0.8961						
515.5	1	0.9826	0.8965						
516	1	0.9825	0.8969						
516.5	1	0.9823	0.8973						
517	1	0.9821	0.8977						
517.5	1	0.982	0.898						
518	1	0.9818	0.8984						
518.5	1	0.9816	0.8988						
519	1	0.9814	0.8992						
519.5	1	0.9812	0.8996						
520	1	0.981	0.9						
520.5	1	0.9807	0.9004						
521	1	0.9804	0.9007						
521.5	1	0.9801	0.9011						
522	1	0.9798	0.9015						
522.5	1	0.9794	0.9018						
523	1	0.979	0.9022						
523.5	1	0.9785	0.9026						
524	0.9999	0.9781	0.9029						
524.5	0.9999	0.9776	0.9033						
525	0.9999	0.977	0.9036						
525.5	0.9999	0.9765	0.9039						
526	1	0.976	0.9043						
526.5	0.9999	0.9755	0.9046						
527	0.9999	0.9749	0.905						
527.5	0.9999	0.9744	0.9054						
528	1	0.9739	0.9057						
528.5	1	0.9734	0.9061						
529	1	0.9729	0.9064						
529.5	0.9999	0.9725	0.9068						
530	1	0.9721	0.9071						
530.5	1	0.9717	0.9074						
531	1	0.9714	0.9078						
531.5	1	0.971	0.9081						
532	1	0.9708	0.9085						
532.5	1	0.9706	0.9088						
533	1	0.9704	0.9091						
533.5	1	0.9703	0.9094						
534	1	0.9702	0.9098						
534.5	1	0.9702	0.9101						
535	1	0.9702	0.9104						
535.5	1	0.9702	0.9107						
